DEMO LIST 1

*    *    *    *    *    *    *    *    *    *    *    *    *    *    *    *

                         D.B.A. DEMO LIST PART 1

*    *    *    *    *    *    *    *    *    *    *    *    *    *    *    *

TITEL                         SOORT                         DISK                                                        
007 DEMO (ST SQUAD)           DIG -/C NPG                    07                                                         
16 + PICTURE SHOW             PIC -/C                       342                                                         
3615 GEN 4 DEMO-CUDUL         DEM -/C RIP                   067                                                         
3615 GEN 4 DEMO-EQUINOX       DEM -/C RIP                   067                                                         
3615 GEN 4 DEMO-HEMOROIDS     DEM -/C                       175                                                         
3615 GEN 4 DEMO-NITROWAVE     DEM -/C                       116                                                         
3615 GEN 4 DEMO-OVR           DEM -/C                       284                                                         
3615 GEN 4 DEMO-ST SPIRIT     DEM -/C RIP                   060                                                         
3615 GEN 4 DEMO-TEC           DEM -/C                       121                                                         
3615 GEN 4 DEMO-ULM           DEM -/C                       284                                                         
3615 GEN 4 DEMO-ZUUL          DEM -/C                       248                                                         
4 TH RENDEZ-VOUS (JARRE)      DIG -/C                       102                                                         
42 CREW DEMO 4                DEM                           031                                                         
512 COLOR SLIDESHOW           PIC -/C                       302                                                         
ACID BURN 2                   DIG -/C                       284                                                         
ACID HOUSE REMIX (JIHAD)      DIG -/C                       228                                                         
ADMIRABLES MODULE COMPIL J    MODS -/C                      391                                                         
AENIGMATICA D.1               DEM -/C                       071                                                         
AENIGMATICA D.2"GENESYS"      DEM -C                        082                                                         
ALADINS LAMPS (IMAGIC)        DEM/ANI -/C                   010                                                         
ALF DEMO                      DIG/ANI -/C                   015                                                         
ALF MEGA DEMO                 DEM -/C                       112                                                         
AMAZING AMIGA SHOW 1 (ICG)    DEM -/C                       004                                                         
AMIGA DEMO                    DEM -/C HACK                   2                                                          
AMIGA SLIDESHOW (A.C.C.)      DEM -/C                       003                                                         
AMIGA SLIDESHOW 3 (DRAX)      DEM -/C                       099                                                         
ANARCHY DCD 14                DEMOS -/C                     -                                                           
ANARCHY DCD 16                DEMOS -/C                     -                                                           
ANGST DEMO (DELTA FORCE)      DIG -/C                       358                                                         
ANIMAL MINE G.S.C. 05         DEM -/C                       276                                                         
ANIMAL MINE G.S.C. 10         INTROS -/C                    318                                                         
ANIMAL MINE G.S.C. 11         INTROS -/C                    319                                                         
ANIMAL MINE G.S.C. 12         INTROS -/C                    334                                                         
ANIMAL MINE G.S.C. 13         INTROS -/C                    361                                                         
ANIMAL MINE G.S.C. 14         INTROS -/C                    362                                                         
ANIMAL MINE G.S.C. 15         INTROS -/C                    363                                                         
ANIMAL MINE G.S.C. 16         INTROS -/C                    373                                                         
ANIMAL MINE G.S.C. 17         INTROS -/C                    383                                                         
ANIMAL MINE G.S.C. 18         INTROS -/C                    384                                                         
ANIMAL MINE G.S.C. 19         INTROS -/C                    385                                                         
ANIMAL MINE G.S.C. 20         INTROS -/C                    386                                                         
ANIMAL MINE G.S.C. 21         INTROS -/C                    387                                                         
ANIMAL MINE G.S.C. 22         INTROS -/C                    402                                                         
ANIMAL MINE G.S.C. 23         INTROS -/C                    403                                                         
ANIMAL MINE LITTLE SOUNDDEMO 1DEM -/C                       404                                                         
ANIMI DUX MUSIC DISK 3        MODULES -/C                   224                                                         
ANIMI DUX MUSIC DISK 4        MODULES -/C                   225                                                         
ANXIOULY DEMO ( FIREHAWKS )   DEM -/C                       351                                                         
ARAKIS DCD 041                DEMOS -/C                     -                                                           
ARAKIS DCD 062                INTROS -/C                    -                                                           
ARAKIS DCD 063                INTROS -/C                    -                                                           
ARAKIS DCD 065                DEMOS -/C                     -                                                           
ARMISTICE DEMO (IMPACT)       DEM -/C                       185                                                         
ASTERIX DEMO                  DEM -/C                       124                                                         
ATARI WORLD DEMO              DEM -/C                       156                                                         
ATG DEMO 1                    DEM -/C FT                     45                                                         
ATG MEGA DEMO (NOT 100%)      DEM -/C 2D                    278                                                         
AWAKENING O/T GODS (KRUZ)     DEM -/C                       274                                                         
AXIS DEMO                     ANI M/-                       304                                                         
B & W PORNO ANI. SHOW         ANI -/C                       149                                                         
B & W SEXY DISK               ANI M/-                       148                                                         
BACKDOOR 2 PORNO DEMO         ANI -/C                       335                                                         
BACKFIRE PORNO DEMO           ANI -/C                       113                                                         
BANANAS                       DEM M/-                       072                                                         
BARBARELLA "PIN UP CLUB"      DIG -/C                       043                                                         
BARBARIAN ATTACK PORNO DEMO   ANI -/C                       335                                                         
BASSLINE BOYS DEMO            DIG -/C                       193                                                         
BAT DEMO (ST SQUAD)           DIG -/C NPG                    07                                                         
BATMAN DEMO CLASSIC           DIG -/C                       087                                                         
BATMAN DIGI DEMO              DIG -/C                       088                                                         
BIG DEMO (TEX)                DEM -/C HACK                   2                                                          
BIG MEGA DEMO ( W.STATUS)     DEM -/C                       277                                                         
BIG TITS DIGI DEMO            DIG -/C                       030                                                         
BLACK DEMO                    DEM -/C                       123                                                         
BLACK DIGI'S NO.1             DIG -/C                       083                                                         
BLACK DIGIS NO.02             DIG -/C                       217                                                         
BLIPP DEMO                    DEM -/C NASA                   8                                                          
BLOODSUCKER DEMO (ACF)        DEM -/C                       181                                                         
BON JOVI "BAD MEDICINE"       DIG -/C                       020                                                         
BRAINPOWER DEMO               DEM -/C ST                     5                                                          
BRUCE LEE DEMO                ANI -/C                       042                                                         
BYTEBUSTERS DIGI 1            DIG -/C                       235                                                         
BYTEBUSTERS DIGI 2            DIG -/C                       236                                                         
BYTEBUSTERS DIGI 3            DIG -/C                       237                                                         
BYTEBUSTERS DIGI 4            DIG -/C                       238                                                         
CALIFORNIA BEACH GIRLS        DEM M/-                       029                                                         
CARSHOW                       DEM -/C                       055                                                         
CARTOONS                      DEM -/C                       006                                                         
CATNAP DEMO                   DEM -/C                       233                                                         
CHOCOMIX                      DIG -/C                       027                                                         
CHONTICHA                     DEM/ANI M/-                   067                                                         
COME AND GET IT               DIG -/C NPG                    13                                                         
CONSTELLATIONS DEMO           DEM -/C                       061                                                         
CONSTELLATIONS DEMO 2         DEM -/C                       061                                                         
CONVENTION DEMO               DEM -/C FT                     45                                                         
COR BLIMEY MEGA DEMO (STOS)   DEM -/C                       317                                                         
CORNISH EROTICS 1             DEM /ANI -/C                  306                                                         
COUNT DOWN DEMO               DEM -/C                       357                                                         
COUNTERPOINT "ART OF NOISE"   DIG -/C                       067                                                         
CRITICAL WORLD                DEM -/C                       040                                                         
CUDDLY DEMOS                  DEM -/C RIP                   110                                                         
CUNNING DEMO                  DEM -/C 2D                    359                                                         
D.B.A. DEMO 1 ( OUR OWN )     DEM -/C                       016                                                         
D.B.A. DEMO 2 "JUST FUN"      DEM -/C                       240                                                         
DANCING QUEEN                 ANI -/C                       156                                                         
DARK SIDE OF THE MOON         DIG -/C                       060                                                         
DARKFORCE MENU 2              DEM -/C                       -                                                           
DARKSIDE O/T SPOON (ULM)      DEM -/C                       176                                                         
DEBBIE GIBSON "ONLY IN"       DIG -/C                       048                                                         
DECADE DEMO (INNER CIRCLE)    DEM -/C                       130                                                         
DEFINITIVE DEMO (TLB)         DEM -/C HAC                   003                                                         
DELIRIOUS DEMO                DEM -/C 2D                    095                                                         
DELIRIOUS DEMO 2              DEM -/C                       100                                                         
DELIVERANCE BALL DEMO         DEM -/C RIP                   067                                                         
DEMOLICHENS INTRO DISK 1      DEM -/C                       207                                                         
DIAMON LORDS SOUNDCHIP DISK 2 MUS -/C                       396                                                         
DIE FICKINGER                 DEM -/C                       314                                                         
DIE HASEN SHOW                DEM -/C 2D                    322                                                         
DIGI GIRLS 1                  DEM -/C                       143                                                         
DIGI GIRLS 2                  DEM -/C                       144                                                         
DIGI GIRLS 3                  DEM -/C                       145                                                         
DIGI GIRLS 4                  DEM -/C                       146                                                         
DIGI GIRLS 5                  DEM -/C                       147                                                         
DIGI PICTURE DISK             DEM -/C                       142                                                         
DIGI SYNTH NO.01 (TWB)        DEM -/C                       215                                                         
DIGI SYNTH NO.02 (TWB)        DEM -/C                       216                                                         
DIGI SYNTH NO.03 (TWB)        DEM -/C                       244                                                         
DIGI SYNTH NO.04 (TWB)        DEM -/C                       245                                                         
