ST ON FALCON

             *** ALL THIS GAMES RUN ON THE FALCON !!! ***
         (tested by several members of the Atari Falcon Club)
------------------------------------------------------------------
 Last Update: 11.10.1993    | Patches used
-------------------------------------------------------------------
A Prehistoric Tale            Backward 
Alien Syndrome                Normal
Amberstar 1                   PSG_BERR.PRG + VBD_COFF.PRG
Ancient Arts of War in the S. Normal
Archer MacLeans Pool          FBoot
Arkanoid 2                    Backward
Badlands                      Normal
Ballistix                     Backward 
Barbarian                     Backward
Block Out                     Normal
Buggy Boy                     FBoot
Bundesliga Manager Prof.      Normal
Carrier Command               Backward
Chaos Strikes Back            Kaltstart (Control+Alternate+R-Shift+Del)
Chrono Quest 1                Normal
Darkman                       Backward 
Day of the Pharaoh            Normal
Double Dragon 3               Normal
Drakkhen                      Backward 
Dungeon Master                Kaltstart (Control+Alternate+R-Shift+Del)
Elf                           Backward 
Elite                         Normal
Empire                        Normal
Exolon                        Normal
Future Wars                   Normal
Ghost'n Goblins               FBoot
Ghostbusters 2                BOOT_COF.PRG
Gobliiins 1                   Backward II
Gods                          Backward
Hero Quest (Gremlin)          BOOT_COF.PRG
Ice Palast                    Normal
Indiana Jones 3 (Adventure)   Normal
Kick Off 2                    FBoot
Kult                          Backward II
Larry 1                       Normal
Larry 2                       Normal
Larry 3                       Normal
Legend of Faerghail           Normal
Lemmings 2                    Backward 
Life and Death                Backward
Loom                          Normal
MIG29M- Super Fulcrum         Normal
MP Formula 1 Grandprix        BOOT_COF.PRG
Manchester United Europe      BOOT_COF.PRG
Maniac Mansion                Normal
Midwinter 2                   BOOT_COF.PRG
Monkey Island 1               Normal
Nitro                         BOOT_COF.PRG
North & South                 Backward II
Operation Stealth             Normal
Patrizier                     Backward 
Police Quest 1                Normal
Police Quest 2                Normal
Populous 2                    Backward 
Quartz                        Backward 
Rampage (Domark)              Normal
Rick Dangerous 2              BOOT_COF.PRG
Rocket Ranger                 Normal
Rockstar ate my Hamster       Backward
Sapiens                       Backward II 
Smash TV                      Normal
Space Quest 1                 Normal
Space Quest 2                 Normal
Space Quest 3                 Normal
Spirit of Adventure           Normal
Star Wars 1                   Normal
Streetfighter 2               Backward
Super Monaco Grandprix        Normal
The Bard's Tale 1             Normal
The Curse of the Azure Bonds  Normal
The Guild of Thieves          Normal
The Newzealand Story          BOOT_COF.PRG
The Pawn                      Normal
Their Finest Hour             Normal
Thundercats                   Normal
Transworld                    Normal
Trex Warrior                  BOOT_COF.PRG
Vermeer                       Normal
Wings of Death 1              BOOT_COF.PRG (Soundmenu: EFFECTS)
Wonderland                    Normal
Xybots                        Backward
