
 Gee, these are the official results of the ultimate easter event called:

                 M E K K A   &   S Y M P O S I U M   9 8

                      ( w e   a r e   f a m i l y )


Multi-Channel Competition

01  195  My Style - My Beat         EHa/Smash Designs
02  167  Gaia's Child               Velvet/Amable,TDR
03  111  Too Creamy                 Pink/Abyss & Mitch
04   86  File Fight                 Calandrian/TOM/De-ca Dance
05   84  Teamwork                   Virgill/Haujobb
06   77  B&B Remix                  Tommy/Avena
07   76  Klingdong                  Decibel Overload/G.O.D.
08   70  Teach me how to live       INFRA/Silicon Records
09   66  Symposium '98 - The Theme  Soushak/Sector7
10   57  Gates to Oblivion          Phoenix/Aenigma


Wild Competition

01  176  Waspy - The Wasp                             Nevermind!
02  171  Birdhouse Projects - Wie eine Flasche leer!  Pete/Birdhouse Projects
03  166  Prototype                                    Arthus, Myth
04  114  Visual Impact                                Deckard/Impact DK
05  111  C-64 Laptop                                  Junior/ICEBIRD
06   65  Fickwurst                                    Fuzzy/Rigor Mortis
07   51  World's Worst Wideos                         Drudenfuﬂ
08   46  Extreme Mekkaing                             Shadowland Network
09   41  Slam your body                               Symbol
10   23  boch ghichraj                                Hopper/SquoQuo
11   22  Amiga vs PeeCee                              Syntic/Teklords
12   14  Hysteria (Amiga)                             DoggyDoc/ExLex


PC Demo Competition

01  772  The Fulcrum                     Matrix
02  205  Startrail To Glory              Abyss
03  152  Dimension                       Darkage
04  137  SHM                             The Lopez Bros.
05  104  Dreams of Destiny               Suburban Creations
06   47  Checkpoint                      SDI+Obnoxious
07   42  Lucky Day                       Mincer,Argon,Ronny/TLS - BugX
08   40  Ancera                          Petee/Sol
09   36  Heresy                          Haujobb
10   35  Strato Bank                     Trojan/Kolor
11   28  We don't know you               Calodox
12   26  Screen Stars                    Bion FX
13   21  +6 dB                           Teklords
14   20  We are family                   Haujobb
15   18  Project Saufen 2000             Evrimsson/<better not>
16   17  Licht                           Faque
17   15  Birthday 97                     Th(a)sc/Puritans
18   13  Rumbalotte                      Desire
19   10  Unser Heiligtum/Germanys Pride  Tick/APP
20    9  31337 / SD UNRULES              Octogen Labs Rendering Corp.
21    9  Strunz - Ich habe fertig        Titan Crew
22    6  2DFX                            Rufusul
23    6  Mega Lo Mekka                   The Apocalypse


PC 64K Competition

1  514  Paul's Boutique     Amable
2  512  Licht               Hellfire/Haujobb
3  255  SÅndenbock!         Magic/Magic van Lam, Ethos9, Diabolic Force
4  117  Meine Eiche gl‰nzt  Hopper/SquoQuo


PC 4K Competition

1  421  LISA           Magic/Ethos9
2  380  void           shive^kolor franky^riot
3   84  Chicken Dance  Hopper/SquoQuo
4   82  Colors         Blue&Hijacker
5   65  Menschenkind   Maniac (XAP)
6   40  BLOBS          Radar/Citavia


4-Channel Competition

01  158  Discoking       Maniac+Shane/Crux
02  142  Bandura         Muffler/Haujobb
03  109  Into the Iris   Notman/IRIS
04  105  Solar Systems   Skyrunner/Apocalypse
05   97  Manhattan       Marc/Haujobb^Sector7
06   81  Pillzone        Ghandy+Nork/Gods
07   79  U-POP           Curt Cool/Depth
08   51  Chocolate City  Chosen.RNO
09   51  70s interlude   E-schall-I/riot
10   37  -               Acid God
11   35  -               Virgill
12   32  Poly Sessions   Genetic/GM VISION


Graphix Competition

01  293  HÑnsel&Gretel im Paradies
         des blutigen Todes                  Cyclone/Abyss
02  173  Blîder Vochel!                      Nazgul
03  114  Fantasy                             Peachy/Haujobb
04   96  Oppa geht ficken                    Acryl/Scoopex
05   88  8 bits are enough                   T.G.I./Brainfart audiovisuals
06   79  Native                              JCS/Haujobb^Sector7^Abyss
07   77  Beast                               Kirk Ifuel
08   64  Kiss                                Dreamer/Haujobb
09   54  A Profyle                           Gizmo/Icebird
10   46  Apocalypse                          Rio/Elven11-SpinningKids
11   39  Flash Girl                          Hellfire/Haujobb
11   39  Compopic - no copy                  Rayman/Bonzai Revival
13   38  Rainbow                             Zaac/Ramses
14   36  Dream                               Sigma/TRSI
15   31  Light of Dawn                       Varix/Teklords
16   30  Cyber-Titties                       Ib/Depth
17   28  Into the Dark                       Fastjack/Shadowland Network
18   22  Just free ya mind                   Pinshead^Drudenfuû
19   19  Digga/Occult                        Kloppi
19   19  Viper                               Nevermind!
19   19  Netter Versuch!                     Mr. Coke
22   18  Death Forest                        Odin/Nuance
23   17  Big Dicks                           Cyclops/Fuel-Quad
24   16  Krimskrams                          Gomorrha/Gilden
25   15  Horst                               Sting/Bonzai Revival
25   15  The evil in me                      Deckard/Impact DK
27   14  Pentagramm                          BJ Hype
27   14  Killerhead                          DanDee/TBF/Nostalgia/Laxity
27   14  The Last Outpost                    Hawke / Obnoxious
30   13  Another One?!                       Bifrost/IRIS
30   13  Flasche                             Ultramarin/Kunstwerk
30   13  Harnold Beckenbauer                 MDB/Bonzai Revival
33   12  Godillusion                         Doggy Doc/Exlex
34   11  Schlafen                            Fuzzy/Rigor Mortis
35   10  Inanimate, Tranquil Vastness        Ody/Cromatics
36    9  Cubical Fag                         Crusher/Kitties In Cooler
36    9  Respect.diz                         Pyramid/Plutonic
36    9  Thousand Islands                    Jaws
36    9  Overbatn.iff                        Scudy/Overdoze
